"","progression","gamma_slowing","n","K","trial_number","p_value_mmrm","drop_first_occasions","constraints","interpolation","inference","B","p_value_TCT_common","estimate","conf_int_TCT_common_lower","conf_int_TCT_common_upper","se_TCT_common","se_TCT_common_bs","conf_int_TCT_common_lower_bs","conf_int_TCT_common_upper_bs"
"92","normal",1,50,6,5,0.286560012884143,0,TRUE,"spline","score",0,0.130720026117749,0.49961382657576,0.0283860739478691,1.19253881645584,0.265898681950242,NA,NA,NA
"93","normal",1,50,6,5,0.286560012884143,0,TRUE,"spline","least-squares",0,0.251536740635809,0.588748256223516,0.342831694427014,1.34473490580936,0.140402012628973,NA,NA,NA
"94","normal",1,50,6,5,0.286560012884143,0,FALSE,"spline","wald",0,1.48097207630649e-06,0.358125779239166,0.0967825686525762,0.619468989825755,0.133340822917172,NA,NA,NA
"95","normal",1,50,6,5,0.286560012884143,0,FALSE,"spline","score",0,0.130721471867716,0.49961606170414,0.028391021089907,1.19254098913875,0.265897650814843,NA,NA,NA
"96","normal",1,50,6,5,0.286560012884143,0,FALSE,"spline","least-squares",500,0.955292335809874,0.597801443608249,0.34696692421921,1.41092985090453,0.146278402100276,0.361051227483791,0.0834872536892489,1.2925802234482
"97","normal",1,50,6,5,0.286560012884143,1,TRUE,"spline","wald",0,4.06402970147823e-05,0.423549488222006,0.148238860061589,0.698860116382423,0.140467187321824,NA,NA,NA
"98","normal",1,50,6,5,0.286560012884143,1,TRUE,"spline","least-squares",0,0.245169794468637,0.600731097178264,0.344959179561591,1.37928115365658,0.148986450466418,NA,NA,NA
"99","normal",1,50,6,5,0.286560012884143,1,FALSE,"spline","wald",0,4.40900117948395e-06,0.368883685224299,0.0994573557585406,0.638310014690057,0.137464938943245,NA,NA,NA
"100","normal",1,50,6,5,0.286560012884143,1,FALSE,"spline","least-squares",0,1,0.657363553679112,0.369512710310208,1.45518638223805,0.192136667254522,NA,NA,NA
"101","normal",1,200,5,1,0.277164418725403,0,TRUE,"spline","wald",0,0.894662221588163,0.986993285432345,0.794460760872094,1.1795258099926,0.0982326849263167,NA,NA,NA
"102","normal",1,200,5,1,0.277164418725403,0,TRUE,"spline","score",0,0.21170720892418,1.196779990151,0.866665600770747,1.77809718092447,0.141611407276435,NA,NA,NA
"103","normal",1,200,5,1,0.277164418725403,0,TRUE,"spline","least-squares",0,0.368077097771679,0.920060654099904,0.753461591925961,1.22273729155661,0.0814964247107134,NA,NA,NA
"104","normal",1,200,5,1,0.277164418725403,0,FALSE,"spline","wald",0,0.687626444177598,0.959257686240853,0.760655874322544,1.15785949815916,0.10132931701034,NA,NA,NA
"105","normal",1,200,5,1,0.277164418725403,0,FALSE,"spline","score",0,0.211706892944906,1.19457356399468,0.876529290416241,1.77809733446069,0.143176267176223,NA,NA,NA
"106","normal",1,200,5,1,0.277164418725403,0,FALSE,"spline","least-squares",500,0.335568178038503,0.914614715764178,0.750375339737259,1.21279295780456,0.0815253492441296,0.321109817189531,0.231597445037292,1.5989005304296
"107","normal",1,200,5,1,0.277164418725403,1,TRUE,"spline","wald",0,0.443186458995331,1.0836005551476,0.86992155859651,1.29727955169868,0.109021899502521,NA,NA,NA
"108","normal",1,200,5,1,0.277164418725403,1,TRUE,"spline","least-squares",0,0.369053179901663,0.916665202546251,0.751030578265247,1.26507014542474,0.0828315972430027,NA,NA,NA
"109","normal",1,200,5,1,0.277164418725403,1,FALSE,"spline","wald",0,0.452902359798069,1.08429170877618,0.864185151948355,1.304398265604,0.112301327250906,NA,NA,NA
"110","normal",1,200,5,1,0.277164418725403,1,FALSE,"spline","least-squares",0,0.300540232848431,0.906246273917369,0.747668515031573,1.23249086744547,0.0814279383672127,NA,NA,NA
"111","normal",1,200,5,2,0.979754479749835,0,TRUE,"spline","wald",0,0.795037645654148,1.04431726458238,0.709949536307213,1.37868499285755,0.170598914527317,NA,NA,NA
"112","normal",1,200,5,2,0.979754479749835,0,TRUE,"spline","score",0,0.813118623775606,1.04926295834734,0.70204226317989,1.6193894324151,0.215636097925426,NA,NA,NA
"113","normal",1,200,5,2,0.979754479749835,0,TRUE,"spline","least-squares",0,0.796595459180921,1.03564430527723,0.796911625717398,1.39003506223709,0.168755000438524,NA,NA,NA
"114","normal",1,200,5,2,0.979754479749835,0,FALSE,"spline","wald",0,0.795037645654148,1.04431726458238,0.709949536307213,1.37868499285755,0.170598914527317,NA,NA,NA
"115","normal",1,200,5,2,0.979754479749835,0,FALSE,"spline","score",0,0.813118623775606,1.04926295834734,0.70204226317989,1.6193894324151,0.215636097925426,NA,NA,NA
"116","normal",1,200,5,2,0.979754479749835,0,FALSE,"spline","least-squares",500,0.796595459180921,1.03564430527723,0.796911625717398,1.39003506223709,0.168755000438524,0.193648823549811,0.785134672485571,1.45443889504394
"117","normal",1,200,5,2,0.979754479749835,1,TRUE,"spline","wald",0,0.689451584052949,1.07903815523328,0.691370080442219,1.46670623002434,0.197793468578472,NA,NA,NA
"118","normal",1,200,5,2,0.979754479749835,1,TRUE,"spline","least-squares",0,0.729627313447337,1.05580422748725,0.798748926790268,1.55580792205452,0.21652101810547,NA,NA,NA
"119","normal",1,200,5,2,0.979754479749835,1,FALSE,"spline","wald",0,0.689451584052949,1.07903815523328,0.691370080442219,1.46670623002434,0.197793468578472,NA,NA,NA
"120","normal",1,200,5,2,0.979754479749835,1,FALSE,"spline","least-squares",0,0.729627313447337,1.05580422748725,0.798748926790268,1.55580792205452,0.21652101810547,NA,NA,NA
"121","normal",1,200,5,3,0.47780289007114,0,TRUE,"spline","wald",0,0.072042272702131,0.807043712595498,0.596805399606038,1.01728202558496,0.10726641644836,NA,NA,NA
"122","normal",1,200,5,3,0.47780289007114,0,TRUE,"spline","score",0,0.106873720602014,0.756168874653211,0.541397480914832,1.07764228688172,0.126099824290577,NA,NA,NA
"123","normal",1,200,5,3,0.47780289007114,0,TRUE,"spline","least-squares",0,0.697281548915233,0.954389219606614,0.593164667476378,1.19479417182187,0.146632506925043,NA,NA,NA
"124","normal",1,200,5,3,0.47780289007114,0,FALSE,"spline","wald",0,0.072042272702131,0.807043712595498,0.596805399606038,1.01728202558496,0.10726641644836,NA,NA,NA
"125","normal",1,200,5,3,0.47780289007114,0,FALSE,"spline","score",0,0.106873720602014,0.756168874653211,0.541397480914832,1.07764228688172,0.126099824290577,NA,NA,NA
"126","normal",1,200,5,3,0.47780289007114,0,FALSE,"spline","least-squares",500,0.697281548915233,0.954389219606614,0.593164667476378,1.19479417182187,0.146632506925043,0.235976062174911,0.230016836361609,1.24006520465234
"127","normal",1,200,5,3,0.47780289007114,1,TRUE,"spline","wald",0,0.0722347775488692,0.807167897306665,0.596922849634441,1.01741294497889,0.107269852574134,NA,NA,NA
"128","normal",1,200,5,3,0.47780289007114,1,TRUE,"spline","least-squares",0,0.720651943190753,0.95629505933188,0.592900904679757,1.22934398542437,0.157728036330231,NA,NA,NA
"129","normal",1,200,5,3,0.47780289007114,1,FALSE,"spline","wald",0,0.0722347775488692,0.807167897306665,0.596922849634441,1.01741294497889,0.107269852574134,NA,NA,NA
"130","normal",1,200,5,3,0.47780289007114,1,FALSE,"spline","least-squares",0,0.720651943190753,0.95629505933188,0.592900904679757,1.22934398542437,0.157728036330231,NA,NA,NA
"131","normal",1,200,5,4,0.883274468667383,0,TRUE,"spline","wald",0,0.486405393502422,0.903138859878302,0.630388660308818,1.17588905944779,0.139160822199236,NA,NA,NA
"132","normal",1,200,5,4,0.883274468667383,0,TRUE,"spline","score",0,0.355851196082336,0.85778781573443,0.543584251453761,1.35702136691287,0.150630229243118,NA,NA,NA
"133","normal",1,200,5,4,0.883274468667383,0,TRUE,"spline","least-squares",0,0.386111371561214,0.904963974060359,0.699654467831839,1.2339357063836,0.10937435624348,NA,NA,NA
"134","normal",1,200,5,4,0.883274468667383,0,FALSE,"spline","wald",0,0.486405393502422,0.903138859878302,0.630388660308818,1.17588905944779,0.139160822199236,NA,NA,NA
"135","normal",1,200,5,4,0.883274468667383,0,FALSE,"spline","score",0,0.355851196082336,0.85778781573443,0.543584251453761,1.35702136691287,0.150630229243118,NA,NA,NA
"136","normal",1,200,5,4,0.883274468667383,0,FALSE,"spline","least-squares",500,0.386111371561214,0.904963974060359,0.699654467831839,1.2339357063836,0.10937435624348,0.272613001077116,0.171585709593667,1.3374897634583
"137","normal",1,200,5,4,0.883274468667383,1,TRUE,"spline","wald",0,0.568590049597276,0.919769120211478,0.643955101412775,1.19558313901018,0.140724023999568,NA,NA,NA
"138","normal",1,200,5,4,0.883274468667383,1,TRUE,"spline","least-squares",0,0.375004956503278,0.904323884501049,0.699267611235844,1.25616082989836,0.107685097630783,NA,NA,NA
"139","normal",1,200,5,4,0.883274468667383,1,FALSE,"spline","wald",0,0.568590049597276,0.919769120211478,0.643955101412775,1.19558313901018,0.140724023999568,NA,NA,NA
"140","normal",1,200,5,4,0.883274468667383,1,FALSE,"spline","least-squares",0,0.375004956503278,0.904323884501049,0.699267611235844,1.25616082989836,0.107685097630783,NA,NA,NA
"141","normal",1,200,5,5,0.317865200341247,0,TRUE,"spline","wald",0,0.380656666149446,1.15218046997334,0.811958431706119,1.49240250824056,0.173585862266271,NA,NA,NA
"142","normal",1,200,5,5,0.317865200341247,0,TRUE,"spline","score",0,0.337924411912416,1.23083038119719,0.200051878657865,1.78143844118568,0.192696511465747,NA,NA,NA
"143","normal",1,200,5,5,0.317865200341247,0,TRUE,"spline","least-squares",0,0.120010363566204,1.33333333289523,0.762507467934987,1.66058128280124,0.118535133969695,NA,NA,NA
"144","normal",1,200,5,5,0.317865200341247,0,FALSE,"spline","wald",0,0.353001832657822,1.15814291104991,0.824421699541183,1.49186412255863,0.17026905297295,NA,NA,NA
"145","normal",1,200,5,5,0.317865200341247,0,FALSE,"spline","score",0,0.316639874994237,1.23699373474789,0.193081117539675,1.77622886300208,0.187729042857287,NA,NA,NA
"146","normal",1,200,5,5,0.317865200341247,0,FALSE,"spline","least-squares",500,0.0965755351151499,1.33333333318896,0.774072406007145,1.64940899611561,0.113294799058223,0.29905900962993,0.727780647700838,1.58123722257078
"147","normal",1,200,5,5,0.317865200341247,1,TRUE,"spline","wald",0,0.595726234284848,1.09672922396666,0.739395291638358,1.45406315629497,0.182316580889705,NA,NA,NA
"148","normal",1,200,5,5,0.317865200341247,1,TRUE,"spline","least-squares",0,0.242012634845943,0.850579359427652,0.716157216507845,2.1093431306309,0.0729174276475194,NA,NA,NA
"149","normal",1,200,5,5,0.317865200341247,1,FALSE,"spline","wald",0,0.56915458605825,1.10091669230126,0.753482797530856,1.44835058707166,0.177265448503602,NA,NA,NA
